name,city,number_of_courts,lines_status,nets_status
Westmonte Park,Orlando,3,Perm. Lines,Perm. Nets
Veterans Memorial Park,Orlando,10,Perm. Lines,Perm. Nets
Dover Shores Community Center,Orlando,6,Perm. Lines,Perm. Nets
Round Lake Park,Orlando,10,Perm. Lines,BYO Nets
Phelps Park,Orlando,2,Perm. Lines,Perm. Nets
Riverside Park,Orlando,3,Perm. Lines,Perm. Nets
Eastmonte Park,Orlando,4,Perm. Lines,BYO Nets
Central Winds Pickleball Courts,Orlando,14,Perm. Lines,Perm. Nets
City of Maitland - Minnehaha Park,Orlando,4,Perm. Lines,Portable Nets
Candyland Sports Complex,Orlando,6,Perm. Lines,Perm. Nets
Warren Park,Orlando,8,Perm. Lines,Portable Nets
Downey Park,Orlando,8,Perm. Lines,Perm. Nets
Eastmonte Park,Orlando,10,Perm. Lines,BYO Nets
Trotwood Park,Orlando,4,Perm. Lines,Portable Nets
Avalon Park,Orlando,2,Perm. Lines,BYO Nets
Cady Way Pickleball,Orlando,8,Perm. Lines,Perm. Nets
Tiger Minor Park,Orlando,7,Perm. Lines,Perm. Nets
East Park,Orlando,4,Perm. Lines,Perm. Nets
Caruthers Park,Anaheim,2,Perm. Lines,BYO Nets
Montebello City Park,Anaheim,4,Perm. Lines,Perm. Nets
Magnolia Park,Anaheim,1,Tape Lines,BYO Nets
Bixby Park,Anaheim,1,Perm. Lines,BYO Nets
Brenner Park,Anaheim,3,Perm. Lines,BYO Nets
Cornerstone Warehouse,Anaheim,3,Perm. Lines,Portable Nets
Independence Park,Anaheim,4,Perm. Lines,Portable Nets
La Mirada Community Regional Park,Anaheim,6,Perm. Lines,Perm. Nets
Sigler Park,Anaheim,3,Perm. Lines,Perm. Nets
Somerset Park,Anaheim,8,Perm. Lines,BYO Nets
City of Lakewood Mayfair Park,Anaheim,8,Perm. Lines,Portable Nets
Leffingwell Ranch Park,Anaheim,4,Perm. Lines,Perm. Nets
Peralta Park,Anaheim,1,Perm. Lines,Perm. Nets
City of La Palma Recreation and Community Center,Anaheim,6,Perm. Lines,Perm. Nets
Box Canyon Park,Anaheim,1,Perm. Lines,BYO Nets
Marina Park Seal Beach,Anaheim,4,Perm. Lines,Perm. Nets
Vellano Park,Anaheim,4,Perm. Lines,Perm. Nets
Morrison Park,Anaheim,1,Perm. Lines,Tennis Nets
Tuffree Hill Park,Anaheim,4,Perm. Lines,Perm. Nets
Whitaker Park,Anaheim,3,Perm. Lines,BYO Nets
Maple Hill Park,Anaheim,4,Perm. Lines,Perm. Nets
Gretchen Whitney High School,Anaheim,3,Perm. Lines,BYO Nets
Brush Canyon Park,Anaheim,2,Perm. Lines,Portable Nets
Heritage Community Park,Anaheim,4,Perm. Lines,Portable Nets
Vista Del Verde Park,Anaheim,3,Perm. Lines,Portable Nets
Liberty Park and Fitness Center,Anaheim,5,Perm. Lines,Perm. Nets
Las Palomas Park,Anaheim,4,Perm. Lines,Perm. Nets
Marina Vista Park,Anaheim,8,Perm. Lines,BYO Nets
Worthy Park,Anaheim,4,Perm. Lines,Perm. Nets
Portola Springs Community Park,Anaheim,8,Perm. Lines,Perm. Nets
Tanager Park,Anaheim,2,Perm. Lines,Perm. Nets
Harbour View Tennis courts,Anaheim,1,Tape Lines,BYO Nets
University Community Park,Anaheim,1,Perm. Lines,Tennis Nets
Edison Park,Anaheim,7,Perm. Lines,Perm. Nets
Bay Shore Recreation Center,Anaheim,3,Perm. Lines,BYO Nets
Discovery Well Park,Anaheim,1,Perm. Lines,Perm. Nets
El Camino Real Park,Anaheim,2,Perm. Lines,Tennis Nets
Cypress College Tennis Center,Anaheim,8,Perm. Lines,BYO Nets
San Carlo Park,Anaheim,2,Perm. Lines,Tennis Nets
Olive hills dog park,Anaheim,2,BYO Lines,Tennis Nets
Twila Reid park,Anaheim,3,Perm. Lines,Perm. Nets
Grand Avenue Park,Anaheim,5,Perm. Lines,Portable Nets
Bill Briare Park,Las Vegas,4,Perm. Lines,Perm. Nets
Huckleberry Park,Las Vegas,4,Perm. Lines,Tennis Nets
Stone Bridge Park,Las Vegas,4,Perm. Lines,Perm. Nets
Aloha Shores Park,Las Vegas,4,Perm. Lines,Perm. Nets
Bob Price Recreation Center,Las Vegas,6,Perm. Lines,Portable Nets
Siena Heights Trailhead,Las Vegas,3,Perm. Lines,Tennis Nets
Sunny Springs Park,Las Vegas,2,Perm. Lines,Tennis Nets
Sunset Park Pickleball Complex,Las Vegas,24,Perm. Lines,Perm. Nets
Black Mountain Recreation Center & Aquatic Complex,Las Vegas,6,Perm. Lines,Perm. Nets
Dorrel Park,Las Vegas,1,Perm. Lines,Perm. Nets
Ward 6 Pickleball Courts,Las Vegas,2,Perm. Lines,Perm. Nets
Skye Hills Park at Farm Road,Las Vegas,2,Perm. Lines,Perm. Nets
Whitney Mesa Tennis Complex,Las Vegas,14,Perm. Lines,Perm. Nets
Deer Springs Park,Las Vegas,2,Perm. Lines,Perm. Nets
Dundee Jones Park,Las Vegas,2,Perm. Lines,Perm. Nets
Cadence Central Park,Las Vegas,2,Perm. Lines,Perm. Nets
Skye View Park,Las Vegas,2,Perm. Lines,Perm. Nets
Paradise Recreation And Community Services Center,Las Vegas,3,Perm. Lines,Portable Nets
Durango Hills Park,Las Vegas,7,Perm. Lines,Perm. Nets
Mission Hills Park,Las Vegas,8,Perm. Lines,BYO Nets
Cougar Creek Park Pickleball Courts,Las Vegas,2,Perm. Lines,Perm. Nets
Hollywood Regional Park,Las Vegas,8,Perm. Lines,Perm. Nets
Lone Mountain Park,Las Vegas,4,Perm. Lines,Perm. Nets
Desert Breeze Community Center,Las Vegas,3,Perm. Lines,Portable Nets
Police Memorial Park,Las Vegas,4,Perm. Lines,Perm. Nets
Neighborhood Recreation Center,Las Vegas,1,Perm. Lines,BYO Nets
Oak Leaf Park Pickleball Courts,Las Vegas,4,Perm. Lines,Perm. Nets
Louis C. Moser Park,New York,8,Perm. Lines,BYO Nets
De Muro Park,New York,3,Perm. Lines,Perm. Nets
Howard Bennett Playground,New York,4,Tape Lines,Perm. Nets
Ellington in the Park,New York,1,BYO Lines,BYO Nets
St. Vartan Park,New York,4,Perm. Lines,BYO Nets
Carl Schurz Park Pickleball Courts,New York,3,Perm. Lines,Portable Nets
Lillian D. Wald Playground,New York,4,Perm. Lines,BYO Nets
Bayonne High School,New York,4,BYO Lines,BYO Nets
Verona Park,New York,2,Perm. Lines,Perm. Nets
Brooklyn Bridge Park Pier 2,New York,4,Perm. Lines,Perm. Nets
Stephen R Gregg Park,New York,2,Perm. Lines,Perm. Nets
Skyline Playground,New York,4,Perm. Lines,Perm. Nets
Kaiser Park,New York,4,Perm. Lines,Perm. Nets
Kawameeh Park,New York,2,Perm. Lines,Tennis Nets
Hoboken Pickleball Court,New York,6,Perm. Lines,Portable Nets
Memorial Park,New York,4,Perm. Lines,Perm. Nets
Lauren Hill Park,New York,2,Perm. Lines,Perm. Nets
North Arlington Pickleball Courts,New York,2,Perm. Lines,Perm. Nets
Hudson County - Washington Park,New York,2,Perm. Lines,Perm. Nets
Frank Principe Pickleball Courts,New York,6,Perm. Lines,Portable Nets
Buchmuller Park Pickleball Court,New York,3,Perm. Lines,Perm. Nets
James J. Walker Park,New York,2,Perm. Lines,BYO Nets
Highland Park,New York,9,Perm. Lines,BYO Nets
Overpeck Tennis & Pickleball Courts,New York,6,Perm. Lines,Perm. Nets
Leif Ericson Park,New York,4,Perm. Lines,Perm. Nets
Riverside County Park,New York,2,Perm. Lines,BYO Nets
Jackie Robinson Park,New York,2,Perm. Lines,BYO Nets
William Birch Park Pickleball Courts,New York,4,Perm. Lines,Perm. Nets
Crocheron Park,New York,6,Perm. Lines,Perm. Nets
Roy Wilkins Park,New York,4,Perm. Lines,BYO Nets
William F. Passannante Ballfield,New York,5,Perm. Lines,BYO Nets
Maple Valley Park,New York,2,Perm. Lines,Tennis Nets
Foley Tennis & Pickleball Courts,New York,4,Perm. Lines,Perm. Nets
DeWitt Clinton Park,New York,3,Perm. Lines,BYO Nets
Branch Brook Park,New York,4,Perm. Lines,Perm. Nets
Belleville High School,New York,2,Perm. Lines,Perm. Nets
Braddock Park Pickleball Courts,New York,7,Perm. Lines,Perm. Nets
Parking Lot near McCarren Park,New York,16,Perm. Lines,BYO Nets
Dr Gertrude B Kelly Playground,New York,2,Perm. Lines,BYO Nets
East River Playground,New York,3,Perm. Lines,BYO Nets
Marine Park,New York,8,Perm. Lines,Perm. Nets
Hudson River Park Interim Pickleball Courts,New York,4,Perm. Lines,Perm. Nets
Verona Community Pool,New York,2,Perm. Lines,Perm. Nets
Sol Lain Playground,New York,3,Perm. Lines,BYO Nets
Ravenswood Playground,New York,4,BYO Lines,BYO Nets
Farm Playground,New York,1,Perm. Lines,Perm. Nets
Herbert H Lehman High School,New York,2,Perm. Lines,BYO Nets
Riverside Park,New York,5,Perm. Lines,Perm. Nets
Happy Warrior Playground,New York,1,BYO Lines,BYO Nets
John J Carty Park,New York,4,Perm. Lines,Perm. Nets
St. Catherine’s Park,New York,3,Tape Lines,BYO Nets
Owens Field Pickleball / Tennis Courts,New York,6,Perm. Lines,Perm. Nets
Wheeler Park,New York,4,Perm. Lines,Perm. Nets
Roy Wilkins Park,New York,4,Perm. Lines,BYO Nets
Francis Lewis Park,New York,1,Perm. Lines,Perm. Nets
Roosevelt Island Pickleball Courts,New York,2,Perm. Lines,Perm. Nets
Linden Park,New York,4,Perm. Lines,Perm. Nets
Archie Spigner Pickleball Courts,New York,4,Perm. Lines,BYO Nets
Robert Moses Playground,New York,2,Perm. Lines,Portable Nets
Washington Park,New York,1,Perm. Lines,Perm. Nets
Asser Levy Recreation Center,New York,1,Perm. Lines,Portable Nets
Squibb Park,New York,3,Perm. Lines,Portable Nets
Rockaway Beach,New York,1,Perm. Lines,Perm. Nets
Tamblyn Field,New York,6,Perm. Lines,Perm. Nets
Inwood Hill Park Handball Courts,New York,2,Perm. Lines,BYO Nets
Trunbull Park,New York,4,Perm. Lines,Perm. Nets
Cypress Recreation Park,New York,2,Perm. Lines,Perm. Nets
La Parquita Tennis Courts,Denver,2,Perm. Lines,Portable Nets
Sheridan Recreation Center,Denver,6,Perm. Lines,BYO Nets
Southwest Recreation Center,Denver,3,Perm. Lines,Portable Nets
Clear Creek Valley Park,Denver,8,Perm. Lines,Perm. Nets
Huston Lake Park,Denver,4,Perm. Lines,Perm. Nets
Addenbrooke Park,Denver,4,Perm. Lines,Portable Nets
Crestridge Park,Denver,4,Perm. Lines,Perm. Nets
5090 Broadway Recreation Center,Denver,2,Perm. Lines,Portable Nets
The Ridge at West Meadows Park,Denver,4,Perm. Lines,BYO Nets
Prospect Park,Denver,6,Perm. Lines,Perm. Nets
St. Charles Rec Center,Denver,3,Perm. Lines,Portable Nets
Carmody Rec Center,Denver,9,Perm. Lines,Perm. Nets
Glendale Park,Denver,4,Perm. Lines,Perm. Nets
Highland Hollows Park,Denver,4,Perm. Lines,Perm. Nets
The Ridge Rec Center,Denver,6,Perm. Lines,Portable Nets
Aqua Vista Park,Denver,2,Perm. Lines,Tennis Nets
Charles Whitlock Park,Denver,2,Perm. Lines,Portable Nets
Malley Senior Center,Denver,2,Perm. Lines,Portable Nets
Martin Luther King Jr Park,Denver,10,Perm. Lines,Perm. Nets
Fulton,Denver,4,Perm. Lines,Perm. Nets
Woodglen / Brookshire Park,Denver,4,Perm. Lines,Perm. Nets
River Church,Denver,2,Tape Lines,Portable Nets
Smoky Hill Metropolitan Subdivision,Denver,2,Perm. Lines,Perm. Nets
Broomfield Industrial Park,Denver,3,Perm. Lines,Perm. Nets
Apex Simms Street Rec Center,Denver,26,Perm. Lines,Perm. Nets
Delmar,Denver,4,Perm. Lines,Perm. Nets
Central Park at the Farm,Denver,2,Perm. Lines,Perm. Nets
La Familia Recreation Center,Denver,2,Perm. Lines,BYO Nets
Scheitler Recreation Center,Denver,1,Perm. Lines,BYO Nets
Barnum Rec Center,Denver,2,Tape Lines,Portable Nets
Skyland Park,Denver,4,Perm. Lines,Tennis Nets
O’Kane Park,Denver,4,Perm. Lines,Portable Nets
Apel-Bacher Park,Denver,4,Perm. Lines,BYO Nets
Eagle Meadows Park,Denver,4,Perm. Lines,BYO Nets
Municipal Park,Denver,6,Perm. Lines,Perm. Nets
Golden Community Center,Denver,2,Perm. Lines,BYO Nets
Northfield High School,Denver,4,Perm. Lines,Perm. Nets
Wyco Park,Denver,10,Perm. Lines,Portable Nets
Ridge Recreation Center,Denver,2,Perm. Lines,Portable Nets
Seven Hills Park,Denver,1,Perm. Lines,Perm. Nets
Harvey Park Recreation Center,Denver,6,Perm. Lines,BYO Nets
Glenarm Recreation Center,Denver,3,Perm. Lines,BYO Nets
CFHSC,Denver,4,Perm. Lines,Perm. Nets
Countryside Outdoor Tennis Center,Denver,6,Perm. Lines,Perm. Nets
Bear Valley PB Park,Denver,4,Perm. Lines,Perm. Nets
Westlands Park,Denver,2,Perm. Lines,Perm. Nets
Gold Crown Field House & Rec Center,Denver,4,Perm. Lines,BYO Nets
Carmody Recreation Center,Denver,6,Perm. Lines,Perm. Nets
Foothills Fieldhouse,Denver,5,Perm. Lines,Portable Nets
Peachtree Hills Park,Atlanta,12,Perm. Lines,Portable Nets
Browns Mill Recreation Center,Atlanta,5,Tape Lines,Portable Nets
Phoenix II Park,Atlanta,2,Perm. Lines,Tennis Nets
Bessie Branham Park,Atlanta,4,BYO Lines,Tennis Nets
Park at Pernoshal Court,Atlanta,1,Perm. Lines,BYO Nets
Fair Oaks Recreation Center,Atlanta,3,Perm. Lines,Portable Nets
Dottie Bridges courts at Flat Shoals Park,Atlanta,4,Perm. Lines,Portable Nets
Grant Park Tennis Courts,Atlanta,8,Perm. Lines,BYO Nets
Shady Valley Park,Atlanta,3,Perm. Lines,Tennis Nets
Grove Park,Atlanta,2,Perm. Lines,Perm. Nets
Jefferson Park Recreation Center,Atlanta,2,Perm. Lines,Portable Nets
Brownwood Park,Atlanta,1,BYO Lines,Tennis Nets
Tucker Recreation Center,Atlanta,6,Tape Lines,Portable Nets
Chosewood Park,Atlanta,1,Perm. Lines,Tennis Nets
Sykes park,Atlanta,6,Perm. Lines,Perm. Nets
Nickajack Park,Atlanta,2,Perm. Lines,Perm. Nets
Keswick Park Tennis Courts,Atlanta,2,Perm. Lines,Tennis Nets
Hidden Valley Park,Atlanta,2,Perm. Lines,Perm. Nets
Chastain Park Tennis Center,Atlanta,1,Perm. Lines,
Rosenfeld Park,Atlanta,4,Perm. Lines,Perm. Nets
Westside Paper,Atlanta,3,Perm. Lines,Portable Nets
Southside Park,Atlanta,6,Perm. Lines,Perm. Nets
Arrow creek,Atlanta,3,Perm. Lines,Perm. Nets
Ebster Recreation Center,Atlanta,3,Perm. Lines,Portable Nets
Briarwood Park Tennis Courts,Atlanta,2,Perm. Lines,Tennis Nets
Lenox-Wildwood Park,Atlanta,1,Perm. Lines,Tennis Nets
Hammond Park,Atlanta,10,Perm. Lines,Portable Nets
Fair Oaks Tennis Center,Atlanta,4,Perm. Lines,Portable Nets
South Fulton Tennis Center,Atlanta,4,Perm. Lines,Perm. Nets
Rodney Cook Sr. Park,Atlanta,2,Perm. Lines,BYO Nets
East Lake Park,Atlanta,2,Perm. Lines,BYO Nets
Lang Carson Recreation Center,Atlanta,2,Perm. Lines,Portable Nets
Brookdale Park,Atlanta,6,Perm. Lines,BYO Nets
Ridgeview Park,Atlanta,6,Perm. Lines,Perm. Nets
Bessie Branham Recreation Center,Atlanta,3,Tape Lines,BYO Nets
Central Park Tennis Courts,Atlanta,4,BYO Lines,BYO Nets
Stone Mountain Recreation - Rock Gym,Atlanta,2,Perm. Lines,BYO Nets
Garden Park,Atlanta,2,Perm. Lines,Tennis Nets
Isabell Gates Webster Park,Atlanta,2,Perm. Lines,Tennis Nets
Lynwood Park,Atlanta,2,Perm. Lines,Tennis Nets
Forest Fleming Arena,Atlanta,4,Perm. Lines,Portable Nets
Anderson Recreation Center,Atlanta,2,Tape Lines,Portable Nets
Tolleson Park,Atlanta,6,Perm. Lines,Tennis Nets
Cobb County Hurt Road Park,Atlanta,2,Perm. Lines,Tennis Nets
Avondale Estates,Atlanta,4,Perm. Lines,Portable Nets
Harleson Park,Phoenix,4,Perm. Lines,BYO Nets
Sundance Park Pickleball Courts,Phoenix,2,Perm. Lines,Perm. Nets
Arrowhead Meadows Park,Phoenix,6,Perm. Lines,Perm. Nets
Indian Bend Park,Phoenix,2,Perm. Lines,Tennis Nets
Alamar Park,Phoenix,4,Perm. Lines,Perm. Nets
Valley Presbyterian Church,Phoenix,3,Perm. Lines,Perm. Nets
Solano Park,Phoenix,4,Perm. Lines,Perm. Nets
Kleinman Park,Phoenix,4,Perm. Lines,Perm. Nets
Pecos Park,Phoenix,16,Perm. Lines,Perm. Nets
harvest park,Phoenix,2,Perm. Lines,Perm. Nets
Tempe Sports Complex,Phoenix,8,Perm. Lines,Perm. Nets
Casita Court,Phoenix,1,Perm. Lines,Perm. Nets
Western Star Park,Phoenix,2,Perm. Lines,Tennis Nets
Encanto Park Tennis Center,Phoenix,3,Perm. Lines,Perm. Nets
Escalante Multi-Generational Center,Phoenix,2,Perm. Lines,Portable Nets
Roadrunner Park,Phoenix,4,Perm. Lines,Perm. Nets
G.R. Herberger Park,Phoenix,4,Perm. Lines,Perm. Nets
Scottsdale Community College,Phoenix,6,Perm. Lines,Perm. Nets
Sandpiper Park,Phoenix,4,Perm. Lines,Perm. Nets
Legacy,Phoenix,2,Perm. Lines,Perm. Nets
Horizon Park,Phoenix,10,Perm. Lines,Perm. Nets
Rose Mofford Sports Complex,Phoenix,3,Perm. Lines,Perm. Nets
Friendship Park,Phoenix,4,Perm. Lines,BYO Nets
Cholla Park,Phoenix,8,Perm. Lines,Perm. Nets
Bonsall Park North,Phoenix,8,Perm. Lines,Portable Nets
Paiute Park,Phoenix,2,Perm. Lines,Tennis Nets
Apollo Beach Park,Tampa,4,Tape Lines,Portable Nets
Del Oro Park,Tampa,2,Perm. Lines,Perm. Nets
Rowlett Park,Tampa,8,Perm. Lines,Perm. Nets
Gardenville Recreation Center,Tampa,3,Perm. Lines,Portable Nets
Northdale Park,Tampa,7,Perm. Lines,BYO Nets
Julian B Lane Riverfront Park,Tampa,6,Perm. Lines,Perm. Nets
New tampa sports pavilion,Tampa,4,Perm. Lines,Portable Nets
Northlakes Sports Complex,Tampa,14,Perm. Lines,Perm. Nets
Cedarbrook,Tampa,2,Perm. Lines,Perm. Nets
Westchase Park & Recreation Center,Tampa,3,Perm. Lines,BYO Nets
Fossil Park,Tampa,6,Perm. Lines,Perm. Nets
Progress Village,Tampa,4,Perm. Lines,Perm. Nets
Booker Creek Park,Tampa,1,Perm. Lines,Perm. Nets
Roberts Recreation Center,Tampa,3,Perm. Lines,BYO Nets
The Skills Center,Tampa,9,Perm. Lines,Portable Nets
North Lakes,Tampa,14,Perm. Lines,Perm. Nets
Madison Street Park,Tampa,1,Perm. Lines,Perm. Nets
Broderick Park,Tampa,2,Perm. Lines,Perm. Nets
Bloomingdale East Park,Tampa,2,Perm. Lines,Perm. Nets
Soule Road Park,Tampa,3,Perm. Lines,Perm. Nets
Denver Park,Tampa,6,Perm. Lines,Perm. Nets
Foster Park,Tampa,2,Perm. Lines,Portable Nets
Cuscaden Park,Tampa,6,Perm. Lines,Perm. Nets
Copeland Park,Tampa,4,Perm. Lines,Perm. Nets
Gladden Park Recreation Center,Tampa,3,Perm. Lines,Portable Nets
Vila Brothers Park,Tampa,2,Perm. Lines,Perm. Nets
Cypress Forest Recreation Center,Tampa,2,Perm. Lines,BYO Nets
Marshall Street Park,Tampa,5,Perm. Lines,Perm. Nets
Skyview Park,Tampa,2,Perm. Lines,Perm. Nets
Keystone Park & Recreation Center,Tampa,4,Perm. Lines,Perm. Nets
Northwest Recreation Center,Tampa,6,Perm. Lines,Perm. Nets
Bicentennial Park,Tampa,3,Perm. Lines,Perm. Nets
Crescent Lake Park,Tampa,6,Perm. Lines,Perm. Nets
Safety Harbor Community Center,Tampa,4,Tape Lines,Portable Nets
McFarlane Park,Tampa,8,Perm. Lines,Perm. Nets
Progress Village Park,Tampa,4,Perm. Lines,Perm. Nets
Amerige Park,Boston,4,Perm. Lines,Perm. Nets
Lt. John Jones Memorial Park,Boston,1,Perm. Lines,Perm. Nets
Edith C Baker School,Boston,10,Perm. Lines,BYO Nets
South Street Courts,Boston,6,Perm. Lines,BYO Nets
Gowdy Memorial Playground,Boston,1,Perm. Lines,BYO Nets
Billings Field,Boston,6,Perm. Lines,BYO Nets
Burlington Parks and Recreation Center,Boston,2,Perm. Lines,Portable Nets
McGrath Park,Boston,6,Perm. Lines,BYO Nets
Florida Ruffin Ridley School,Boston,2,Perm. Lines,Tennis Nets
Lowell Playground,Boston,4,Perm. Lines,Perm. Nets
Bedford Lane School Gym,Boston,5,Perm. Lines,Portable Nets
Pequossette Playground Tennis Courts,Boston,8,Perm. Lines,BYO Nets
Plymouth River School,Boston,6,Perm. Lines,BYO Nets
Lawndale Terrace Garden Park,Boston,4,Perm. Lines,BYO Nets
Peters Park,Boston,1,Perm. Lines,Tennis Nets
Cronin Field,Boston,6,Perm. Lines,Tennis Nets
James R. Savage Educational Center,Boston,3,Perm. Lines,Perm. Nets
Linscott Park Swampscott,Boston,1,Perm. Lines,Portable Nets
Lakeshore Park,Boston,3,Perm. Lines,Perm. Nets
Kendall Square Rooftop Garden,Boston,1,Perm. Lines,Perm. Nets
Fallon Field,Boston,1,Perm. Lines,Tennis Nets
Ink Block Underground,Boston,1,Perm. Lines,Perm. Nets
Seaside Park,Boston,6,Perm. Lines,Perm. Nets
Marblehead Veterans Middle School,Boston,6,Perm. Lines,Perm. Nets
John Murphy Square,Boston,4,Perm. Lines,Portable Nets
President's Golf Course Tennis Courts,Boston,2,Perm. Lines,Tennis Nets
Newton North High School,Boston,10,BYO Lines,BYO Nets
Hull Courts,Boston,4,Perm. Lines,Perm. Nets
Braintree Pickleball Courts,Boston,8,Perm. Lines,Perm. Nets
Leonard Field,Boston,4,Perm. Lines,Portable Nets
Clark Street Playground,Boston,4,Perm. Lines,Perm. Nets
Memorial Middle School Tennis Courts,Boston,2,Perm. Lines,Tennis Nets
Burchard Field,Boston,6,Perm. Lines,Perm. Nets
Longwood Playground,Boston,6,Perm. Lines,BYO Nets
Monsignor McCabe Playground,Boston,2,Perm. Lines,BYO Nets
William Diamond Middle School,Boston,3,Perm. Lines,BYO Nets
Raddin Park,Boston,2,Perm. Lines,BYO Nets
Boston Commons Tennis Courts,Boston,3,Perm. Lines,BYO Nets
Crosby Park,Boston,2,Perm. Lines,Tennis Nets
Recreation Department,Boston,2,Perm. Lines,Perm. Nets
Pellegrini Park,Boston,4,Perm. Lines,BYO Nets
Dorchester Park Tennis Courts,Boston,2,Perm. Lines,Tennis Nets
Carr Park,Boston,4,Perm. Lines,Perm. Nets
Valley Road Recreation Area,Boston,4,Perm. Lines,BYO Nets
Evans Field/Marine Park,Boston,4,Perm. Lines,BYO Nets
Boston - Camp Meigs Field,Boston,4,Perm. Lines,BYO Nets
Carr School,Boston,4,BYO Lines,BYO Nets
Warren Field aka Eliot Street Park,Boston,9,Perm. Lines,BYO Nets
Graverson Playground,Boston,2,BYO Lines,BYO Nets
Bishop Field Tennis Courts,Boston,2,Perm. Lines,BYO Nets
Cambridge Public Library,Boston,3,BYO Lines,BYO Nets
Shea Memorial Rink Courts,Boston,2,Perm. Lines,BYO Nets
Winthrop Middle School Gym,Boston,6,Perm. Lines,BYO Nets
Swampscott Middle School,Boston,2,BYO Lines,BYO Nets
John Glenn Middle School,Boston,2,BYO Lines,BYO Nets
Prince Street Park,Boston,4,Perm. Lines,BYO Nets
Wellesley - Schofield School,Boston,2,Perm. Lines,Perm. Nets
Flash Road Playground,Boston,2,,
Marrs Park,Boston,3,Perm. Lines,Perm. Nets
Newton - Pine Meadow Drive,Boston,1,BYO Lines,BYO Nets
Casey,Boston,10,Perm. Lines,BYO Nets
Hoyt Field,Boston,2,Perm. Lines,Tennis Nets
Easterlin Park,Fort Lauderdale,1,Perm. Lines,BYO Nets
C.B. Smith Park,Fort Lauderdale,6,Perm. Lines,Portable Nets
Country Club of Miami,Fort Lauderdale,2,Perm. Lines,Portable Nets
Benneson Park,Fort Lauderdale,8,Perm. Lines,Perm. Nets
Sunrise Middle School,Fort Lauderdale,6,Perm. Lines,Perm. Nets
Park on SW 112th Ter,Fort Lauderdale,2,Perm. Lines,Perm. Nets
West Pembroke Pines Pickleball Courts,Fort Lauderdale,2,Perm. Lines,Portable Nets
Benenson Park,Fort Lauderdale,6,Perm. Lines,Perm. Nets
Dan Witt Park,Fort Lauderdale,4,Perm. Lines,Perm. Nets
Cypress Park,Fort Lauderdale,8,Perm. Lines,Perm. Nets
Palm Aire - George Brummer Park,Fort Lauderdale,6,Perm. Lines,Perm. Nets
Wimberly Fields Park,Fort Lauderdale,5,Perm. Lines,Perm. Nets
Pompano Beach Community Park,Fort Lauderdale,12,Perm. Lines,Perm. Nets
Jefferson Park Pickleball,Fort Lauderdale,5,Perm. Lines,Perm. Nets
Florence C Hardy Park,Fort Lauderdale,2,Perm. Lines,Tennis Nets
Central Broward Park,Fort Lauderdale,4,Perm. Lines,Perm. Nets
Windmill Park,Fort Lauderdale,4,Perm. Lines,BYO Nets
Joseph C. Carter Park,Fort Lauderdale,3,Perm. Lines,Tennis Nets
Pine Island Park,Fort Lauderdale,6,Perm. Lines,Perm. Nets
Osswald Park,Fort Lauderdale,4,Perm. Lines,Perm. Nets
Suellen H. Fardelmann Cooper City Sports Complex,Fort Lauderdale,6,Perm. Lines,Perm. Nets
Plantation Central Park,Fort Lauderdale,17,Perm. Lines,Portable Nets
